id,Tweets
1478991723002949632,@KotakBankLtd @IndiGo6E Even after no loan amount is due they deduct amount and don't cancel the loan. Also sends messages for due emi and there are no reply of mails done to them i.e. cdservice@kotak.com. Even HDFC Bank is lakhs time better then these shits.@KotakBankLtd @udaykotak https://t.co/3jQ4ithTNO
1478991048328110084,"RT @enidhi: Airlines cancel direct flight to Kolkata, but affected passengers can fly to CCU one stop via HYD, BLR etc.. what exactly are w…"
1478990814772547586,"@KotakBankLtd @IndiGo6E Fraud bank. Even after many tweets, mailing and calling customer support, they even dont try to resolve issues and deduct the money from customer account. The bank is running by looting the innocent customers money. @KotakBankLtd https://t.co/l2gj7rRocU"
1478990799576580096,"@DelhiAirport @IndiGo6E @DelhiAirport  I was in this flight this day, had good experience"
1478990547834474497,"RT @TrichyAviation: Dear #Tirupathi passengers, now #Colombo is in your door step. Indigo is providing through check in facility between Ti…"
1478990133399490562,"@MalayaliPilot @IndiGo6E But.....why? 
Weird times"
1478987964759769089,"@IndiGo6E my problem is still unsolved, kindly check into it"
1478987660148367362,"Airlines cancel direct flight to Kolkata, but affected passengers can fly to CCU one stop via HYD, BLR etc.. what exactly are we achieving other than spreading the virus to transit locations? #aviation #COVID19 @IndiGo6E"
1478987381067771904,"RT @TrichyAviation: Dear #Tirupathi passengers, now #Colombo is in your door step. Indigo is providing through check in facility between Ti…"
1478987203904610304,@mish08183943 @dgca @HardeepSPuri @IndiGo6E I have also problem my missing bag travelled on 24th December. Dubai to chennai via indigo @ronodutta feel like why did I travelled on this airline which I made mistake again traveling through this airline ??
1478986334089842688,@IndiGo6E Could login after that but still unable to book tickets. Payment page does not show option to enter credit card details. It remains a blank page. Also why does your app not allow Diners Club?
1478986263235489792,@IndiGo6E @mishralokk @IndiGo6E no support... Pathetic services... @PMOIndia @MoCA_GoI please take strict action against Indigo... Please look into the matter..
1478986202447376384,@makemytrip @GoFirstairways @IndiGo6E are still charging cancellation and rescheduling fees stating govt has not cancelled any flights. Kindly step in @DGCAIndia @JM_Scindia @HMOIndia no cancellation or rescheduling fees should be charged during this COVID times. @MoHFW_INDIA
1478986186844622848,.@IndiGo6E is ignoring the messages. No news of refund. #VNS2DEL #6E226 Honestly there’s nothing #6E about bad customer experience.
1478985702880645123,@IndiGo6E Replied to your DM
1478985523926482945,@IndiGo6E Reply to your message. Please check and let me know
1478985391038291973,"@IndiGo6E we have called you, mailed you, tweet you. 
Any thing else Sir? for update my booked fight status."
1478985068576063490,@mishralokk @IndiGo6E @IndiGo6E still no reply ..
1478984659044163584,@IndiGo6E Thank you so much 🥰
1478984266058924033,"@IndiGo6E I need a resolution right now, the customers can't wait for months for your resolution (the usual time taken by you). Give me my money back."
1478983985195720707,@IndiGo6E I want an immediate reply from the concerned authorities. This kind of behaviour is shameful on your part as my mother and sister are just wandering from here to there for help.
1478983737631121408,"@IndiGo6E When layover gap is 7 hours, that too in the late night, why don't you give proper accomodation for rest to passengers? I was coming alongwith a brain surgery recovered patient and suffered a lot at #RGIA hyderabad."
1478983583788244992,@MalayaliPilot @IndiGo6E All these waves and all dem kids got way too much free time 🥱
1478983017137725441,"@mishralokk @IndiGo6E @PMOIndia @MoCA_GoI The customers are 2 females, but still the airlines are misbehaving and are not ready to provide any help or resolution to the customer. This is not acceptable on behalf of @IndiGo6E .. @PMOIndia @MoCA_GoI  Please take action against the airlines on priority."
1478982652002635780,"@IndiGo6E Thanks Nandini. I received the full refund for both the PNRs. I wonder what happened initially? I started getting the refunds when I stopped asking for it anymore. 
However, thanks to team @IndiGo6E once more"
1478982582364622849,@IndiGo6E IFTR2L
1478982202574573568,@mishralokk @IndiGo6E @PMOIndia Please look in the matter. The airlines are working as per their convenience. They have nothing to do with the customers problem and urgency. @MoCA_GoI
1478982193997225988,@IndiGo6E stranded at kashmir due to flight cancellation and you guys don't even care to update your database with the latest schedule. When other flights are atleast showing status as delayed or something..Why can't you do that too? @varadj83
1478981887607459840,RT @mishralokk: @IndiGo6E Your Connecting flight from Rajkot to Benaras (via delhi) sch at 11.20am today first got delayed by 1.30 hrs afte…
1478981823929602049,RT @amankiet07: @mishralokk @IndiGo6E Still showing delayed.. not cancelled.. @IndiGo6E @MoCA_GoI... Customers are verbally informed that f…
1478981748260098052,@IndiGo6E my queries are unanswered
1478981569205338112,@mishralokk @IndiGo6E Still showing delayed.. not cancelled.. @IndiGo6E @MoCA_GoI... Customers are verbally informed that flight is cancelled... Disgusting behaviour by Indigo.. https://t.co/WGL5Vs5bvT
1478980061256552448,@IndiGo6E Your Connecting flight from Rajkot to Benaras (via delhi) sch at 11.20am today first got delayed by 1.30 hrs after the passengers checked in and just before boarding they asked customers to leave and ask to comeback tomorrow as the flight is now cancelled.
1478979007857135618,"RT @aaigoaairport: Just to inform all, the Runway lights have been rectified and operations returned to normal @AAI_Official @aairedwr @air…"
1478978940337229826,RT @aaigoaairport: As per information recieved from ATC the Runway lights are not available at present. Pl expect delay in arrivals and dep…
1478978448970289155,"@IndiGo6E 3 PNRs booked with Indigo. Family members tested positive for COVID. Trying to request to call centre representatives for a full refund but nobody can solve. Indigo representative pushing for Vouchers. Long hold time ~1Hour 
Please assist? https://t.co/zKUOBznoDi"
1478978192752857088,@IndiGo6E Please help me with a full refund n the group cancellation or else please provide me full credits. I will utilize them after the third way is gone.
1478977876678512642,"IndiGo suspends most flights to West Bengal from Delhi and Mumbai
@AcnNewz @IndiGo6E #suspended #WestBengal #DelhiMumbai
https://t.co/8knXAlFvMt"
1478977846722777090,@AjaySingh_SG @flyspicejet @MoCA_GoI @DGCAIndia My wife tested positive &amp; we were quarantined for 14 days from 22/12 to 4/01. How does spicejet expect a quarantined family to fly? Refused full refund! Shame on @flyspicejet ! FYI @IndiGo6E gave us full refund for onward flight 👍! https://t.co/SaqzBQ9ak2
1478976923862634497,"RT @aaikolhaairport: AAI's #KolhapurAirport wishes one &amp; all the PAXs and the stakeholders a Very Happy and Prosperous New Year2022! 
#aaiK…"
1478976910470176769,"RT @aaikolhaairport: Details of #KLH_Apt(VAKP) 01JAN2022
No.of🛬:4
No.of✈️:4
No.of🛬PAXs:212
No.of🛫PAXs:189
@IndiGo6E
🛬:2
IGO7994:61
IGO7991:…"
1478976796548763649,@IndiGo6E @HindujaDhiraj please help me as well
1478976662872027138,"RT @aaikolhaairport: Details of #KLH_Apt(VAKP)02JAN2022
No.of🛬:4
No.of✈️:4
No.of🛬PAXs:211
No.of🛫PAXs:187
@IndiGo6E
🛬:2
IGO7994:66
IGO7991:6…"
1478976610371997698,"RT @aaikolhaairport: Details of #KLH_Apt(VAKP) 02JAN2022
No.of🛬:4
No.of✈️:4
No.of🛬PAXs:211
No.of🛫PAXs:187
@IndiGo6E
🛬:2
IGO7994:60
IGO7991:…"
1478976426862780416,"RT @aaikolhaairport: Details of #KLH_Apt(VAKP) 03JAN2022
No.of🛬:4
No.of✈️:4
No.of🛬PAXs:166
No.of🛫PAXs:144
@IndiGo6E
🛬:2
IGO7994:70
IGO7991:…"
1478976224277925888,"@IndiGo6E I have flight ticket from Bangalore to Ahmadabad and return ticket as well and I am planning to cancel my travel due to this alarming COVID. Can you please waive off the cancellation amount so that I can he a responsible citizen. Thank you in advance. 
PNR: KJ3YRF"
1478976159371067392,"RT @aaikolhaairport: #AzadiKaAmritMahotsav 
Thanks &amp; Regards to Hon'ble Sir MoCA GoI &amp; AAI, given ""Certificate of Appreciation"" to Kolhapur…"
1478976052164632580,"RT @aaikolhaairport: Details of #KLH_Apt(VAKP) 04JAN2021
No.of🛬:3
No.of✈️:3
No.of🛬PAXs:147
No.of🛫PAXs:111
@IndiGo6E
🛬:2
IGO7991:67
IGO7994:…"
1478975910296518658,"RT @TrichyAviation: Dear #Tirupathi passengers, now #Colombo is in your door step. Indigo is providing through check in facility between Ti…"
1478975756684251142,"RT @TrichyAviation: Dear #Tirupathi passengers, now #Colombo is in your door step. Indigo is providing through check in facility between Ti…"
1478975675201585159,"RT @aaikolhaairport: Details of #KLH_Apt(VAKP) 05JAN2022
No.of🛬:4
No.of✈️:4
No.of🛬PAXs:170
No.of🛫PAXs:162
@IndiGo6E
🛬:2
IGO7991:52
IGO7994:…"
1478975533819912193,@IndiGo6E Thanks for the hassle free customer service support in refunding tickets due to pandemic. Really appreciate your teams help on this. Regards
1478975177316732928,"@IndiGo6E Plss Start flights from Kolkata to Sharjah , Doha As early as possible...Many Needs these Routes flights ☝️🙏😔"
1478975138460684288,"RT @kharawala_aamir: This is to bring to your notice that I was not able to board my flight from Mumbai - Dubai ( Flight No 6E 61), dated 6…"
1478974977802059782,@IndiGo6E please help me with the group cancellation and full refund as we have to cancel it because of rising covid cases. Please some help. on an urgent basis. I am asking for help since a week and also the flight is tomorrow.
1478974628676599809,@IndiGo6E Sent you details on DM
1478973961119559680,"RT @mrhimanshumali1: Hve called twice on this num. but no help is being given to me.That's it, first you complete your journey, after that…"
1478973934632505344,@IndiGo6E Reminder
